header seq inter ros topic,header secs inter ros topic,header nsecs inter ros topic,elapsedTimeFromGameStart,currentLocalTime,gameTask,vocab,taskStartTime,taskEndTime,taskDuration,taskTurnIndex,whoseTurn,robotRole,turnStartTime,turnEndTime,turnDuration,numCollectedObjectsForTask,numChildCollectedObjectsForTask,numTotalAttemptsForTask,numChildTotalAttemptsForTask,numChildClickCancelForTurn,numHintButtonPressedForTask,numQsAskeddForTask,numPositiveAnswerForTask,numNegativeAnswerForTask,numOtherAnswerForTask,numNoAnswerAttempt1ForTask,gameStateTrigger,currentInteractionState,currentGameState,robotPhysicalBehavior,robotVirtualBehavior,robotClickedObj,clickedRightObject,clickedObjName,numTouchAbsenceAlertPerTask,objectWordPronounced,isDraggin,pointerClick,onPinch,isScalingUp,isScalingDown,maxElapsedTimeReached
55,1522163959,334987401,0:00:52.701504,2018-05-17 19:58:36.452288,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
56,1522163959,435896158,0:00:52.802101,2018-05-17 19:58:36.552863,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
57,1522163959,536637783,0:00:52.903065,2018-05-17 19:58:36.653832,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
58,1522163959,637596130,0:00:53.004104,2018-05-17 19:58:36.754894,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
59,1522163959,738620758,0:00:53.104568,2018-05-17 19:58:36.855345,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
60,1522163959,839339017,0:00:53.208716,2018-05-17 19:58:36.959478,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
61,1522163959,940282106,0:00:53.306746,2018-05-17 19:58:37.057603,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
62,1522163960,41314601,0:00:53.407856,2018-05-17 19:58:37.158643,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
63,1522163960,142146825,0:00:53.508573,2018-05-17 19:58:37.259346,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
64,1522163960,243355274,0:00:53.609753,2018-05-17 19:58:37.360515,1,gigantic,2018-03-27 11:18:26.633365,None,,1,robotTURN,NOVICE,2018-03-27 11:19:00.631448,None,,1,1,1,1,0,1,0,0,1,0,0,OBJECT_CLICKED,robotTURN,pronunciationPANEL,,VIRTUALLY_CLICK_WRONG_OBJ,painting,,,0,False,False,False,False,False,False,
